"Shape","Possible?","Freeplay?","Simple Floating?","Multilayer Scaffolding?","Drop Through?"
"Cu------","true","true","false","false","false"
"--Cu----","true","true","false","false","false"
"----Cu--","true","true","false","false","false"
"------Cu","true","true","false","false","false"
"CuCu----","true","true","false","false","false"
"--CuCu--","true","true","false","false","false"
"----CuCu","true","true","false","false","false"
"Cu----Cu","true","true","false","false","false"
"Cu--Cu--","true","true","false","false","false"
"--Cu--Cu","true","true","false","false","false"
"CuCuCu--","true","true","false","false","false"
"--CuCuCu","true","true","false","false","false"
"Cu--CuCu","true","true","false","false","false"
"CuCu--Cu","true","true","false","false","false"
"CuCuCuCu","true","true","false","false","false"
"Cu------:Cu------","true","true","false","false","false"
"Cu------:--Cu----","true","false","true","false","false"
"Cu------:----Cu--","false","false","false","false","false"
"Cu------:------Cu","true","false","true","false","false"
"Cu------:CuCu----","true","true","false","false","false"
"Cu------:--CuCu--","false","false","false","false","false"
"Cu------:----CuCu","false","false","false","false","false"
"Cu------:Cu----Cu","true","true","false","false","false"
"Cu------:Cu--Cu--","true","true","false","false","false"
"Cu------:--Cu--Cu","false","false","false","false","false"
"Cu------:CuCuCu--","true","true","false","false","false"
"Cu------:--CuCuCu","false","false","false","false","false"
"Cu------:Cu--CuCu","true","true","false","false","false"
"Cu------:CuCu--Cu","true","true","false","false","false"
"Cu------:CuCuCuCu","true","true","false","false","false"
"--Cu----:Cu------","true","false","true","false","false"
"--Cu----:--Cu----","true","true","false","false","false"
"--Cu----:----Cu--","true","false","true","false","false"
"--Cu----:------Cu","false","false","false","false","false"
"--Cu----:CuCu----","true","true","false","false","false"
"--Cu----:--CuCu--","true","true","false","false","false"
"--Cu----:----CuCu","false","false","false","false","false"
"--Cu----:Cu----Cu","false","false","false","false","false"
"--Cu----:Cu--Cu--","false","false","false","false","false"
"--Cu----:--Cu--Cu","true","true","false","false","false"
"--Cu----:CuCuCu--","true","true","false","false","false"
"--Cu----:--CuCuCu","true","true","false","false","false"
"--Cu----:Cu--CuCu","false","false","false","false","false"
"--Cu----:CuCu--Cu","true","true","false","false","false"
"--Cu----:CuCuCuCu","true","true","false","false","false"
"----Cu--:Cu------","false","false","false","false","false"
"----Cu--:--Cu----","true","false","true","false","false"
"----Cu--:----Cu--","true","true","false","false","false"
"----Cu--:------Cu","true","false","true","false","false"
"----Cu--:CuCu----","false","false","false","false","false"
"----Cu--:--CuCu--","true","true","false","false","false"
"----Cu--:----CuCu","true","true","false","false","false"
"----Cu--:Cu----Cu","false","false","false","false","false"
"----Cu--:Cu--Cu--","true","true","false","false","false"
"----Cu--:--Cu--Cu","false","false","false","false","false"
"----Cu--:CuCuCu--","true","true","false","false","false"
"----Cu--:--CuCuCu","true","true","false","false","false"
"----Cu--:Cu--CuCu","true","true","false","false","false"
"----Cu--:CuCu--Cu","false","false","false","false","false"
"----Cu--:CuCuCuCu","true","true","false","false","false"
"------Cu:Cu------","true","false","true","false","false"
"------Cu:--Cu----","false","false","false","false","false"
"------Cu:----Cu--","true","false","true","false","false"
"------Cu:------Cu","true","true","false","false","false"
"------Cu:CuCu----","false","false","false","false","false"
"------Cu:--CuCu--","false","false","false","false","false"
"------Cu:----CuCu","true","true","false","false","false"
"------Cu:Cu----Cu","true","true","false","false","false"
"------Cu:Cu--Cu--","false","false","false","false","false"
"------Cu:--Cu--Cu","true","true","false","false","false"
"------Cu:CuCuCu--","false","false","false","false","false"
"------Cu:--CuCuCu","true","true","false","false","false"
"------Cu:Cu--CuCu","true","true","false","false","false"
"------Cu:CuCu--Cu","true","true","false","false","false"
"------Cu:CuCuCuCu","true","true","false","false","false"
"CuCu----:Cu------","true","true","false","false","false"
"CuCu----:--Cu----","true","true","false","false","false"
"CuCu----:----Cu--","true","false","true","false","false"
"CuCu----:------Cu","true","false","true","false","false"
"CuCu----:CuCu----","true","true","false","false","false"
"CuCu----:--CuCu--","true","true","false","false","false"
"CuCu----:----CuCu","true","false","true","false","false"
"CuCu----:Cu----Cu","true","true","false","false","false"
"CuCu----:Cu--Cu--","true","true","false","false","false"
"CuCu----:--Cu--Cu","true","true","false","false","false"
"CuCu----:CuCuCu--","true","true","false","false","false"
"CuCu----:--CuCuCu","true","true","false","false","false"
"CuCu----:Cu--CuCu","true","true","false","false","false"
"CuCu----:CuCu--Cu","true","true","false","false","false"
"CuCu----:CuCuCuCu","true","true","false","false","false"
"--CuCu--:Cu------","true","false","true","false","false"
"--CuCu--:--Cu----","true","true","false","false","false"
"--CuCu--:----Cu--","true","true","false","false","false"
"--CuCu--:------Cu","true","false","true","false","false"
"--CuCu--:CuCu----","true","true","false","false","false"
"--CuCu--:--CuCu--","true","true","false","false","false"
"--CuCu--:----CuCu","true","true","false","false","false"
"--CuCu--:Cu----Cu","true","false","true","false","false"
"--CuCu--:Cu--Cu--","true","true","false","false","false"
"--CuCu--:--Cu--Cu","true","true","false","false","false"
"--CuCu--:CuCuCu--","true","true","false","false","false"
"--CuCu--:--CuCuCu","true","true","false","false","false"
"--CuCu--:Cu--CuCu","true","true","false","false","false"
"--CuCu--:CuCu--Cu","true","true","false","false","false"
"--CuCu--:CuCuCuCu","true","true","false","false","false"
"----CuCu:Cu------","true","false","true","false","false"
"----CuCu:--Cu----","true","false","true","false","false"
"----CuCu:----Cu--","true","true","false","false","false"
"----CuCu:------Cu","true","true","false","false","false"
"----CuCu:CuCu----","true","false","true","false","false"
"----CuCu:--CuCu--","true","true","false","false","false"
"----CuCu:----CuCu","true","true","false","false","false"
"----CuCu:Cu----Cu","true","true","false","false","false"
"----CuCu:Cu--Cu--","true","true","false","false","false"
"----CuCu:--Cu--Cu","true","true","false","false","false"
"----CuCu:CuCuCu--","true","true","false","false","false"
"----CuCu:--CuCuCu","true","true","false","false","false"
"----CuCu:Cu--CuCu","true","true","false","false","false"
"----CuCu:CuCu--Cu","true","true","false","false","false"
"----CuCu:CuCuCuCu","true","true","false","false","false"
"Cu----Cu:Cu------","true","true","false","false","false"
"Cu----Cu:--Cu----","true","false","true","false","false"
"Cu----Cu:----Cu--","true","false","true","false","false"
"Cu----Cu:------Cu","true","true","false","false","false"
"Cu----Cu:CuCu----","true","true","false","false","false"
"Cu----Cu:--CuCu--","true","false","true","false","false"
"Cu----Cu:----CuCu","true","true","false","false","false"
"Cu----Cu:Cu----Cu","true","true","false","false","false"
"Cu----Cu:Cu--Cu--","true","true","false","false","false"
"Cu----Cu:--Cu--Cu","true","true","false","false","false"
"Cu----Cu:CuCuCu--","true","true","false","false","false"
"Cu----Cu:--CuCuCu","true","true","false","false","false"
"Cu----Cu:Cu--CuCu","true","true","false","false","false"
"Cu----Cu:CuCu--Cu","true","true","false","false","false"
"Cu----Cu:CuCuCuCu","true","true","false","false","false"
"Cu--Cu--:Cu------","true","true","false","false","false"
"Cu--Cu--:--Cu----","true","false","true","false","false"
"Cu--Cu--:----Cu--","true","true","false","false","false"
"Cu--Cu--:------Cu","true","false","true","false","false"
"Cu--Cu--:CuCu----","true","true","false","false","false"
"Cu--Cu--:--CuCu--","true","true","false","false","false"
"Cu--Cu--:----CuCu","true","true","false","false","false"
"Cu--Cu--:Cu----Cu","true","true","false","false","false"
"Cu--Cu--:Cu--Cu--","true","true","false","false","false"
